namapemda,provinsi,tahun,level2,jenis,nilai
Provinsi Lampung,Provinsi Lampung,2024,Dana Alokasi Khusus Nonfisik,Anggaran,870882305000
Provinsi Lampung,Provinsi Lampung,2024,Dana Alokasi Khusus Nonfisik,Realisasi,805141551250
Provinsi Lampung,Provinsi Lampung,2024,Dana Alokasi Umum,Anggaran,2041221164000
Provinsi Lampung,Provinsi Lampung,2024,Dana Alokasi Umum,Realisasi,1947500031618
Provinsi Lampung,Provinsi Lampung,2024,Dana Bagi Hasil,Anggaran,152398036000
Provinsi Lampung,Provinsi Lampung,2024,Dana Bagi Hasil,Realisasi,141345460500
Provinsi Lampung,Provinsi Lampung,2024,Dana Insentif Daerah,Anggaran,27263797000
Provinsi Lampung,Provinsi Lampung,2024,Dana Insentif Daerah,Realisasi,21172876000
Provinsi Maluku,Provinsi Maluku,2024,Dana Alokasi Khusus Fisik,Anggaran,379160798000
Provinsi Maluku,Provinsi Maluku,2024,Dana Alokasi Khusus Fisik,Realisasi,268335018587
Provinsi Maluku,Provinsi Maluku,2024,Dana Alokasi Khusus Nonfisik,Anggaran,360007397000
Provinsi Maluku,Provinsi Maluku,2024,Dana Alokasi Khusus Nonfisik,Realisasi,325924750647
Provinsi Maluku,Provinsi Maluku,2024,Dana Alokasi Umum,Anggaran,1632179988000
Provinsi Maluku,Provinsi Maluku,2024,Dana Alokasi Umum,Realisasi,1624667003152
Provinsi Maluku,Provinsi Maluku,2024,Dana Bagi Hasil,Anggaran,70430943000
Provinsi Maluku,Provinsi Maluku,2024,Dana Bagi Hasil,Realisasi,42655884580
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Alokasi Khusus Fisik,Anggaran,315707513000
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Alokasi Khusus Fisik,Realisasi,226045367625
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Alokasi Khusus Nonfisik,Anggaran,238608862000
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Alokasi Khusus Nonfisik,Realisasi,219555362768
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Alokasi Umum,Anggaran,1325367487000
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Alokasi Umum,Realisasi,1322632420133
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Bagi Hasil,Anggaran,578094162000
Provinsi Maluku Utara,Provinsi Maluku Utara,2024,Dana Bagi Hasil,Realisasi,576427615454
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Alokasi Khusus Fisik,Anggaran,371613306000
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Alokasi Khusus Fisik,Realisasi,273052453745
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Alokasi Khusus Nonfisik,Anggaran,666713029000
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Alokasi Khusus Nonfisik,Realisasi,604295251313
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Alokasi Umum,Anggaran,1729146847000
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Alokasi Umum,Realisasi,1718245718889
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Bagi Hasil,Anggaran,281069870000
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Bagi Hasil,Realisasi,281069870000
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Insentif Daerah,Anggaran,22270193000
Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,2024,Dana Insentif Daerah,Realisasi,19580633000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Alokasi Khusus Fisik,Anggaran,510764222000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Alokasi Khusus Fisik,Realisasi,323395494092
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Alokasi Khusus Nonfisik,Anggaran,842429628000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Alokasi Khusus Nonfisik,Realisasi,782994409495
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Alokasi Umum,Anggaran,1984240864000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Alokasi Umum,Realisasi,1973127662049
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Bagi Hasil,Anggaran,47111264000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Bagi Hasil,Realisasi,47111264000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Insentif Daerah,Anggaran,11346961000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Dana Insentif Daerah,Realisasi,5673480500
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Transfer Hibah,Anggaran,562464000
Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,2024,Transfer Hibah,Realisasi,348712700
Provinsi Papua,Provinsi Papua,2024,Dana Alokasi Khusus Fisik,Anggaran,147455984000
Provinsi Papua,Provinsi Papua,2024,Dana Alokasi Khusus Fisik,Realisasi,96162899013
Provinsi Papua,Provinsi Papua,2024,Dana Alokasi Khusus Nonfisik,Anggaran,11600715000
Provinsi Papua,Provinsi Papua,2024,Dana Alokasi Khusus Nonfisik,Realisasi,9149552300
Provinsi Papua,Provinsi Papua,2024,Dana Alokasi Umum,Anggaran,778046831000
Provinsi Papua,Provinsi Papua,2024,Dana Alokasi Umum,Realisasi,778046831000
Provinsi Papua,Provinsi Papua,2024,Dana Bagi Hasil,Anggaran,53847198000
Provinsi Papua,Provinsi Papua,2024,Dana Bagi Hasil,Realisasi,13437907930
Provinsi Papua,Provinsi Papua,2024,Dana Otonomi Khusus,Anggaran,1088617906000
Provinsi Papua,Provinsi Papua,2024,Dana Otonomi Khusus,Realisasi,816463429500
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Alokasi Khusus Fisik,Anggaran,92092794000
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Alokasi Khusus Fisik,Realisasi,69719241701
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Alokasi Khusus Nonfisik,Anggaran,5726852000
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Alokasi Khusus Nonfisik,Realisasi,3178391200
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Alokasi Umum,Anggaran,577396113000
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Alokasi Umum,Realisasi,572745145000
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Bagi Hasil,Anggaran,1612003452000
Provinsi Papua Barat,Provinsi Papua Barat,2024,Dana Bagi Hasil,Realisasi,1400960011340
