wilayah_kode,wilayah,tahun,value
9400,PAPUA,2018,0.384
1100,ACEH,2018,0.325
3100,DKI JAKARTA,2018,0.394
1800,LAMPUNG,2018,0.367
6400,KALIMANTAN TIMUR,2018,0.342
1600,SUMATERA SELATAN,2018,0.381
3500,JAWA TIMUR,2018,0.387
5200,NUSA TENGGARA BARAT,2018,0.372
3200,JAWA BARAT,2018,0.405
7100,SULAWESI UTARA,2018,0.372
1600,SUMATERA SELATAN,2018,0.354
3200,JAWA BARAT,2018,0.315
6300,KALIMANTAN SELATAN,2018,0.365
1800,LAMPUNG,2018,0.317
7400,SULAWESI TENGGARA,2018,0.409
7300,SULAWESI SELATAN,2018,0.361
6100,KALIMANTAN BARAT,2018,0.278
9100,PAPUA BARAT,2018,0.427
1600,SUMATERA SELATAN,2018,0.296
1500,JAMBI,2018,0.351
1100,ACEH,2018,0.344
5300,NUSA TENGGARA TIMUR,2018,0.352
3200,JAWA BARAT,2018,0.407
7400,SULAWESI TENGGARA,2018,0.356
1700,BENGKULU,2018,0.316
1600,SUMATERA SELATAN,2018,0.358
8200,MALUKU UTARA,2018,0.336
3400,DI YOGYAKARTA,2018,0.421
1400,RIAU,2018,0.292
1300,SUMATERA BARAT,2018,0.305
1200,SUMATERA UTARA,2018,0.311
1500,JAMBI,2018,0.354
9999,INDONESIA,2018,0.401
3600,BANTEN,2018,0.386
5300,NUSA TENGGARA TIMUR,2018,0.327
5100,BALI,2018,0.377
1800,LAMPUNG,2018,0.326
6500,KALIMANTAN UTARA,2018,0.31
1600,SUMATERA SELATAN,2018,0.316
6200,KALIMANTAN TENGAH,2018,0.369
8200,MALUKU UTARA,2018,0.308
9100,PAPUA BARAT,2018,0.318
1200,SUMATERA UTARA,2018,0.318
7500,GORONTALO,2018,0.383
7100,SULAWESI UTARA,2018,0.394
5300,NUSA TENGGARA TIMUR,2018,0.351
6100,KALIMANTAN BARAT,2018,0.377
7600,SULAWESI BARAT,2018,0.451
5300,NUSA TENGGARA TIMUR,2019,0.343
8200,MALUKU UTARA,2019,0.312
6100,KALIMANTAN BARAT,2019,0.341
7500,GORONTALO,2019,0.41
7300,SULAWESI SELATAN,2019,0.391
1400,RIAU,2019,0.334
6200,KALIMANTAN TENGAH,2019,0.367
3300,JAWA TENGAH,2019,0.315
5300,NUSA TENGGARA TIMUR,2019,0.338
7600,SULAWESI BARAT,2019,0.317
6200,KALIMANTAN TENGAH,2019,0.372
2100,KEP. RIAU,2019,0.335
1200,SUMATERA UTARA,2019,0.262
7400,SULAWESI TENGGARA,2019,0.353
6500,KALIMANTAN UTARA,2019,0.292
3200,JAWA BARAT,2019,0.41
2100,KEP. RIAU,2019,0.262
1600,SUMATERA SELATAN,2019,0.339
3400,DI YOGYAKARTA,2019,0.326
1500,JAMBI,2019,0.321
7100,SULAWESI UTARA,2019,0.376
9400,PAPUA,2019,0.41
5100,BALI,2019,0.306
3300,JAWA TENGAH,2019,0.383
3600,BANTEN,2019,0.355
9999,INDONESIA,2019,0.38
3400,DI YOGYAKARTA,2019,0.43
8100,MALUKU,2019,0.289
1600,SUMATERA SELATAN,2019,0.311
3300,JAWA TENGAH,2019,0.361
3500,JAWA TIMUR,2019,0.318
1300,SUMATERA BARAT,2019,0.306
7400,SULAWESI TENGGARA,2019,0.393
3200,JAWA BARAT,2019,0.408
7200,SULAWESI TENGAH,2019,0.327
6400,KALIMANTAN TIMUR,2019,0.333
7400,SULAWESI TENGGARA,2019,0.406
1700,BENGKULU,2019,0.376
2100,KEP. RIAU,2019,0.341
