namapemda,provinsi,tahun,level2,level3,jenis,nilai
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Kehutanan - PSDH,Realisasi,13971000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Anggaran,7716187000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Realisasi,7716187000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Minerba - Royalti,Anggaran,75061189000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Minerba - Royalti,Realisasi,75061189000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Minyak Bumi 15%,Anggaran,1299168000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2024,Dana Bagi Hasil,DBH SDA Minyak Bumi 15%,Realisasi,1299168000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Anggaran,154790185000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Realisasi,107386642079
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Anggaran,7782956000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Kesehatan,Realisasi,7782956000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Anggaran,776211960000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasional Sekolah,Realisasi,775015460805
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Anggaran,541677000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Fasilitasi Penanaman Modal,Realisasi,541677000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Anggaran,342000000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Pelayanan Perlindungan Perempuan dan Anak,Realisasi,342000000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Anggaran,2297876000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Peningkatan Kapasitas Koperasi dan Usaha Mikro Kecil ,Realisasi,2297876000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Anggaran,1642599000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Tambahan Penghasilan Guru ASN Daerah ,Realisasi,1314079200
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Khusus Guru ASN Daerah,Anggaran,496342000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Khusus Guru ASN Daerah,Realisasi,397073600
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Profesi Guru ASN Daerah,Anggaran,283112428000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Khusus Nonfisik,Dana Tunjangan Profesi Guru ASN Daerah,Realisasi,226489942400
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum,Anggaran,984894795000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum,Realisasi,984894795000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Kesehatan,Anggaran,12514078000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Kesehatan,Realisasi,12514078000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pendidikan,Anggaran,134395612000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum Bidang Pendidikan,Realisasi,134395612000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum Penggajian Formasi PPPK,Anggaran,14444000000
Provinsi Banten,Provinsi Banten,2024,Dana Alokasi Umum,Dana Alokasi Umum Penggajian Formasi PPPK,Realisasi,14443947968
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,Dana Bagi Hasil Perkebunan Sawit,Anggaran,1812435000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,Dana Bagi Hasil Perkebunan Sawit,Realisasi,1812435000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH Cukai Hasil Tembakau,Anggaran,252621000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH Cukai Hasil Tembakau,Realisasi,
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Anggaran,3090802000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH PBB Bagian Daerah untuk Provinsi,Realisasi,3090802000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Anggaran,665437423000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH PPh Pasal 21,Realisasi,665437423000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Anggaran,27023905000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH PPh Pasal 25/29 OP,Realisasi,27023905000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH SDA Kehutanan - PSDH,Anggaran,259794000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH SDA Kehutanan - PSDH,Realisasi,259794000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Anggaran,153734000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH SDA Minerba - Iuran Tetap,Realisasi,153734000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH SDA Panas Bumi - Iuran Tetap,Anggaran,386008000
Provinsi Banten,Provinsi Banten,2024,Dana Bagi Hasil,DBH SDA Panas Bumi - Iuran Tetap,Realisasi,386008000
Provinsi Banten,Provinsi Banten,2024,Dana Insentif Daerah,Dana Insentif Daerah,Anggaran,19619982000
Provinsi Banten,Provinsi Banten,2024,Dana Insentif Daerah,Dana Insentif Daerah,Realisasi,9809991000
Provinsi Bengkulu,Provinsi Bengkulu,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Anggaran,265373635000
Provinsi Bengkulu,Provinsi Bengkulu,2024,Dana Alokasi Khusus Fisik,Dana Alokasi Khusus Penugasan,Realisasi,179372516125
Provinsi Bengkulu,Provinsi Bengkulu,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,Anggaran,4000000000
Provinsi Bengkulu,Provinsi Bengkulu,2024,Dana Alokasi Khusus Nonfisik,Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,Realisasi,4000000000
